300,"{""refString"":""Dippel. In: Handb. Laubholzk. 2: (1892)."",""yearStart"":1892}","{""itemId"":47090,""yearAggr"":1889,""titleName"":""Handbuch der Laubholzkunde."",""volume"":""v.2"",""partPages"":null,""titleYearStart"":1889,""titleYearEnd"":1893,""pageNum"":457}",0.95
300,"{""refString"":""Dippel. In: Handb. Laubholzk. 2: (1892)."",""yearStart"":1892}","{""itemId"":123938,""yearAggr"":1893,""titleName"":""Gartenflora"",""volume"":""Jahrg.42 (1893)"",""partPages"":null,""titleYearStart"":1852,""titleYearEnd"":1940,""pageNum"":460}",0.2
300,"{""refString"":""Dippel. In: Handb. Laubholzk. 2: (1892)."",""yearStart"":1892}","{""itemId"":137341,""yearAggr"":1905,""titleName"":""Mitteilungen der Deutschen dendrologischen gesellschaft."",""volume"":""no.14  (1905)"",""partPages"":null,""titleYearStart"":1893,""titleYearEnd"":null,""pageNum"":94}",0.2
300,"{""refString"":""Dippel. In: Handb. Laubholzk. 2: (1892)."",""yearStart"":1892}","{""itemId"":159916,""yearAggr"":1926,""titleName"":""Samen-Verzeichnis des Staatl. Botanischen Gartens zu Dresden."",""volume"":""1926-1927, 1932-1938, 1940-41"",""partPages"":null,""titleYearStart"":1891,""titleYearEnd"":null,""pageNum"":44}",0.2
300,"{""refString"":""Dippel. In: Handb. Laubholzk. 2: (1892)."",""yearStart"":1892}","{""itemId"":177334,""yearAggr"":1878,""titleName"":""Mémoires de l'Académie impériale des sciences de St.-Pétersbourg."",""volume"":""ser.7:t.25 (1878)"",""partPages"":null,""titleYearStart"":1859,""titleYearEnd"":1897,""pageNum"":60}",0.2
300,"{""refString"":""Dippel. In: Handb. Laubholzk. 2: (1892)."",""yearStart"":1892}","{""itemId"":137443,""yearAggr"":1888,""titleName"":""Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie."",""volume"":""v.9(1888)"",""partPages"":null,""titleYearStart"":1881,""titleYearEnd"":2009,""pageNum"":4}",0.2
300,"{""refString"":""Dippel. In: Handb. Laubholzk. 2: (1892)."",""yearStart"":1892}","{""itemId"":60413,""yearAggr"":1889,""titleName"":""Handbuch der Laubholzkunde :"",""volume"":""2"",""partPages"":null,""titleYearStart"":1889,""titleYearEnd"":null,""pageNum"":458}",0.2
147,"{""refString"":""Ames. In: Orchidaceae 7: 81. (1922)."",""yearStart"":1922,""volume"":7,""pageStart"":81}","{""itemId"":52930,""yearAggr"":1922,""titleName"":""Orchidaceae:"",""volume"":""fasc.7 (1922)"",""partPages"":null,""titleYearStart"":1905,""titleYearEnd"":1922,""pageNum"":81}",0.95
147,"{""refString"":""Ames. In: Orchidaceae 7: 81. (1922)."",""yearStart"":1922,""volume"":7,""pageStart"":81}","{""itemId"":104421,""yearAggr"":1922,""titleName"":""An enumeration of Philippine flowering plants"",""volume"":""v.1"",""partPages"":null,""titleYearStart"":1922,""titleYearEnd"":1926,""pageNum"":292}",0.2
147,"{""refString"":""Ames. In: Orchidaceae 7: 81. (1922)."",""yearStart"":1922,""volume"":7,""pageStart"":81}","{""itemId"":263014,""yearAggr"":1922,""titleName"":""Schedulae Orchidianae."",""volume"":""No. 1-10"",""partPages"":null,""titleYearStart"":1922,""titleYearEnd"":1930,""pageNum"":22}",0.2
